iter	Passed	Remaining
175	571	2676
176	574	2670
177	577	2667
178	579	2657
179	582	2651
180	589	2668
181	592	2664
182	594	2653
183	596	2643
184	602	2654
185	605	2648
186	607	2639
187	610	2635
188	622	2669
189	624	2660
190	625	2650
191	632	2663
192	636	2662
193	638	2654
194	640	2645
195	642	2635
196	647	2639
197	649	2632
198	652	2626
199	654	2617
200	661	2628
201	663	2623
202	668	2625
203	680	2655
204	681	2644
205	683	2634
206	684	2623
207	693	2639
208	694	2629
209	696	2619
210	697	2609
211	699	2601
212	701	2590
213	702	2580
214	705	2576
215	707	2566
216	708	2556
217	709	2546
218	711	2536
219	713	2528
220	714	2519
221	716	2509
222	719	2506
223	720	2497
224	722	2487
225	723	2478
226	725	2470
227	727	2462
228	728	2453
229	730	2444
230	731	2435
231	733	2427
232	735	2420
233	736	2411
234	737	2402
235	739	2393
236	740	2385
237	742	2376
238	743	2367
239	745	2359
240	746	2351
241	749	2346
242	750	2338
243	752	2330
244	753	2321
245	754	2313
246	756	2306
247	758	2299
248	759	2290
249	761	2284
250	763	2278
251	764	2270
252	766	2262
253	767	2254
254	768	2246
255	770	2239
256	771	2231
257	773	2223
258	774	2216
259	776	2210
260	778	2203
261	779	2195
262	780	2188
263	782	2180
264	783	2174
265	785	2167
266	786	2159
267	788	2152
268	789	2145
269	791	2140
270	792	2133
271	794	2125
272	795	2118
273	796	2111
274	798	2105
275	800	2098
276	801	2092
277	802	2085
278	804	2078
279	805	2072
280	807	2065
281	808	2059
282	810	2052
283	811	2045
284	813	2039
285	814	2033
286	815	2026
287	817	2021
288	818	2014
289	820	2009
290	822	2003
291	823	1996
292	824	1990
293	826	1983
294	828	1979
295	830	1975
296	831	1969
297	834	1966
298	836	1960
299	837	1954
300	839	1948
301	840	1942
302	842	1937
303	843	1931
304	845	1925
305	846	1919
306	847	1913
307	849	1909
308	851	1903
309	852	1897
310	854	1892
311	855	1885
312	857	1881
313	858	1876
314	860	1871
315	861	1865
316	863	1860
317	865	1855
318	866	1849
319	868	1844
320	869	1838
321	870	1833
322	872	1828
323	873	1823
324	875	1817
325	876	1812
326	878	1808
327	880	1803
328	881	1797
329	882	1792
330	884	1786
331	886	1782
332	887	1778
333	889	1772
334	890	1767
335	891	1762
336	894	1759
337	895	1754
338	897	1749
339	898	1744
340	901	1741
341	902	1736
342	904	1732
343	907	1729
344	909	1726
345	910	1721
346	912	1716
347	913	1711
348	915	1708
349	920	1709
350	922	1706
351	925	1703
352	927	1700
353	930	1697
354	932	1693
355	934	1690
356	936	1686
357	938	1682
358	940	1678
359	941	1674
360	943	1670
361	945	1666
362	953	1673
363	958	1674
364	961	1672
365	969	1679
366	971	1676
367	977	1678
368	979	1674
369	983	1674
370	992	1682
371	995	1679
372	1005	1690
373	1010	1691
374	1016	1694
375	1022	1697
376	1025	1694
377	1027	1691
378	1035	1696
379	1039	1695
380	1041	1692
381	1044	1689
382	1047	1686
383	1049	1684
384	1058	1691
385	1062	1689
386	1064	1686
387	1073	1693
388	1076	1690
389	1078	1686
390	1080	1682
391	1081	1677
392	1085	1676
393	1088	1673
394	1089	1669
395	1091	1664
396	1093	1660
397	1095	1656
398	1099	1656
399	1101	1652
400	1103	1648
401	1107	1647
402	1109	1643
403	1111	1640
404	1115	1638
405	1117	1634
406	1119	1631
407	1121	1627
408	1123	1623
409	1125	1619
410	1126	1614
411	1128	1610
412	1130	1606
413	1131	1601
414	1133	1597
415	1134	1592
416	1136	1588
417	1137	1584
418	1139	1579
419	1142	1578
420	1146	1576
421	1150	1575
422	1152	1571
423	1153	1567
424	1155	1562
425	1157	1559
426	1159	1555
427	1160	1551
428	1162	1546
429	1163	1542
430	1167	1541
431	1170	1538
432	1173	1536
433	1174	1532
434	1176	1527
435	1177	1523
436	1178	1518
437	1180	1514
438	1182	1510
439	1183	1506
440	1184	1501
441	1186	1498
442	1188	1494
443	1189	1490
444	1191	1485
445	1192	1481
446	1194	1477
447	1195	1473
448	1197	1469
449	1198	1464
450	1199	1460
451	1201	1457
452	1203	1453
453	1204	1448
454	1206	1444
455	1207	1440
456	1209	1436
457	1210	1432
458	1211	1428
459	1213	1424
460	1214	1420
461	1216	1416
462	1217	1412
463	1219	1408
464	1220	1404
465	1222	1400
466	1223	1396
467	1225	1392
468	1226	1388
469	1228	1384
470	1229	1380
471	1231	1377
472	1232	1373
473	1233	1369
474	1235	1365
475	1236	1361
476	1238	1357
477	1239	1354
478	1241	1350
479	1242	1346
480	1244	1342
481	1246	1339
482	1247	1335
483	1249	1331
484	1250	1327
485	1252	1324
486	1253	1320
487	1255	1317
488	1256	1313
489	1258	1309
490	1260	1306
491	1261	1302
492	1263	1299
493	1264	1295
494	1266	1291
495	1267	1288
496	1269	1284
497	1270	1280
498	1272	1277
499	1275	1275
500	1277	1272
501	1279	1268
502	1280	1265
503	1282	1262
504	1283	1258
505	1285	1254
506	1286	1251
507	1288	1247
508	1290	1244
509	1291	1240
510	1293	1237
511	1294	1233
512	1295	1230
513	1297	1226
514	1298	1223
515	1300	1219
516	1301	1216
517	1303	1212
518	1304	1209
519	1306	1205
520	1307	1202
521	1309	1198
522	1310	1195
523	1312	1191
524	1313	1188
525	1314	1184
526	1316	1181
527	1317	1178
528	1319	1174
529	1321	1171
530	1322	1167
531	1323	1164
532	1325	1161
533	1327	1158
534	1328	1154
535	1329	1151
536	1331	1147
537	1333	1145
538	1334	1141
539	1336	1138
540	1337	1134
541	1339	1131
542	1340	1128
543	1342	1125
544	1343	1121
545	1345	1118
546	1347	1115
547	1348	1112
548	1350	1109
549	1351	1105
550	1353	1102
551	1354	1099
552	1356	1096
553	1357	1093
554	1359	1089
555	1360	1086
556	1362	1083
557	1364	1080
558	1365	1077
559	1366	1073
560	1368	1070
561	1369	1067
562	1371	1064
563	1372	1060
564	1373	1057
565	1375	1054
566	1376	1051
567	1378	1048
568	1379	1045
569	1381	1041
570	1382	1038
571	1384	1035
572	1385	1032
573	1386	1029
574	1388	1026
575	1389	1022
576	1391	1020
577	1393	1017
578	1394	1014
579	1396	1010
580	1398	1008
581	1399	1005
582	1401	1002
583	1403	1000
584	1406	998
585	1408	995
586	1410	992
587	1411	989
588	1415	987
589	1417	984
590	1418	981
591	1421	979
592	1424	977
593	1426	974
594	1427	971
595	1429	968
596	1433	967
597	1437	966
598	1439	963
599	1444	962
600	1446	960
601	1448	957
602	1458	960
603	1460	957
604	1462	954
605	1464	952
606	1471	952
607	1473	950
608	1475	947
609	1478	945
610	1479	942
611	1488	943
612	1489	940
613	1491	937
614	1493	935
615	1495	932
616	1504	933
617	1505	930
618	1507	927
619	1509	925
620	1516	925
621	1519	923
622	1521	920
623	1523	918
624	1527	916
625	1532	915
626	1534	913
627	1536	910
628	1539	907
629	1540	904
630	1548	905
631	1550	902
632	1551	899
633	1554	897
634	1556	894
635	1563	895
636	1565	892
637	1566	888
638	1568	885
639	1572	884
640	1575	882
641	1576	879
642	1578	876
643	1579	873
644	1580	870
645	1582	867
646	1584	864
647	1585	861
648	1588	858
649	1590	856
650	1591	853
651	1592	850
652	1594	847
653	1596	844
654	1597	841
655	1598	838
656	1600	835
657	1602	832
658	1604	830
659	1605	827
660	1606	824
661	1608	821
662	1609	818
663	1611	815
664	1612	812
665	1613	809
666	1615	806
667	1617	804
668	1619	801
669	1620	798
670	1622	795
671	1623	792
672	1625	789
673	1626	786
674	1628	783
675	1629	781
676	1632	778
677	1634	776
678	1635	773
679	1636	770
680	1638	767
681	1639	764
682	1641	761
683	1642	758
684	1643	755
685	1645	753
686	1647	750
687	1648	747
688	1649	744
689	1651	741
690	1652	739
691	1654	736
692	1655	733
693	1656	730
694	1658	727
695	1660	725
696	1661	722
697	1663	719
698	1664	716
699	1665	713
700	1667	711
701	1668	708
702	1670	705
703	1671	702
704	1673	700
705	1675	697
706	1676	694
707	1678	692
708	1679	689
709	1680	686
710	1682	683
711	1683	681
712	1685	678
713	1686	675
714	1688	672
715	1689	670
716	1691	667
717	1692	664
718	1694	662
719	1695	659
720	1697	656
721	1700	654
722	1701	652
723	1704	649
724	1706	647
725	1707	644
726	1709	641
727	1710	639
728	1712	636
729	1714	633
730	1715	631
731	1716	628
732	1718	625
733	1720	623
734	1721	620
735	1723	618
736	1725	615
737	1726	612
738	1728	610
739	1729	607
740	1730	605
741	1732	602
742	1734	599
743	1735	597
744	1737	594
745	1738	591
746	1739	589
747	1741	586
748	1742	584
749	1744	581
750	1745	578
751	1747	576
752	1749	573
753	1750	571
754	1752	568
755	1753	565
756	1754	563
757	1756	560
758	1758	558
759	1759	555
760	1760	552
761	1762	550
762	1763	547
763	1765	545
764	1766	542
765	1768	540
766	1770	537
767	1771	535
768	1773	532
769	1774	530
770	1775	527
771	1777	525
772	1779	522
773	1780	520
774	1782	517
775	1784	515
776	1786	512
777	1789	510
778	1790	508
779	1795	506
780	1799	504
781	1801	502
782	1805	500
783	1806	497
784	1812	496
785	1816	494
786	1817	492
787	1819	489
788	1823	487
789	1826	485
790	1827	482
791	1830	480
792	1833	478
793	1840	477
794	1842	475
795	1844	472
796	1846	470
797	1858	470
798	1861	468
799	1864	466
800	1878	466
801	1879	464
802	1888	463
803	1890	460
804	1891	458
805	1893	455
806	1896	453
807	1901	451
808	1904	449
809	1905	447
810	1907	444
811	1908	441
812	1910	439
813	1912	437
814	1918	435
815	1920	432
816	1921	430
817	1922	427
818	1924	425
819	1926	422
820	1927	420
821	1930	418
822	1932	415
823	1933	413
824	1935	410
825	1936	407
826	1938	405
827	1940	403
828	1941	400
829	1944	398
830	1946	395
831	1947	393
832	1949	390
833	1950	388
834	1952	385
835	1953	383
836	1954	380
837	1956	378
838	1958	375
839	1960	373
840	1961	370
841	1963	368
842	1964	365
843	1966	363
844	1967	360
845	1969	358
846	1970	355
847	1971	353
848	1974	351
849	1975	348
850	1977	346
851	1978	343
852	1980	341
853	1981	338
854	1982	336
855	1984	333
856	1985	331
857	1988	329
858	1989	326
859	1991	324
860	1992	321
861	1994	319
862	1996	316
863	1997	314
864	1999	312
865	2001	309
866	2003	307
867	2005	304
868	2007	302
869	2009	300
870	2011	297
871	2012	295
872	2014	292
873	2015	290
874	2017	288
875	2018	285
876	2020	283
877	2021	280
878	2023	278
879	2024	276
880	2026	273
881	2027	271
882	2028	268
883	2030	266
884	2032	264
885	2033	261
886	2034	259
887	2036	256
888	2037	254
889	2039	252
890	2040	249
891	2042	247
892	2043	244
893	2044	242
894	2046	240
895	2048	237
896	2049	235
897	2050	232
898	2052	230
899	2053	228
900	2055	225
901	2056	223
902	2058	221
903	2059	218
904	2061	216
905	2062	214
906	2064	211
907	2065	209
908	2067	206
909	2069	204
910	2070	202
911	2071	199
912	2073	197
913	2075	195
914	2076	192
915	2078	190
916	2079	188
917	2081	185
918	2082	183
919	2084	181
920	2085	178
921	2087	176
922	2089	174
923	2091	172
924	2093	169
925	2094	167
926	2096	165
927	2097	162
928	2098	160
929	2100	158
930	2101	155
931	2103	153
932	2104	151
933	2106	148
934	2107	146
935	2108	144
936	2110	141
937	2112	139
938	2113	137
939	2114	134
940	2116	132
941	2117	130
942	2119	128
943	2120	125
944	2122	123
945	2123	121
946	2125	118
947	2127	116
948	2129	114
949	2131	112
950	2134	109
951	2136	107
952	2137	105
953	2139	103
954	2140	100
955	2142	98
956	2143	96
957	2145	94
958	2146	91
959	2148	89
960	2149	87
961	2151	84
962	2152	82
963	2154	80
964	2155	78
965	2157	75
966	2158	73
967	2160	71
968	2161	69
969	2163	66
970	2164	64
971	2166	62
972	2167	60
973	2168	57
974	2170	55
975	2172	53
976	2173	51
977	2174	48
978	2176	46
979	2178	44
980	2180	42
981	2181	39
982	2183	37
983	2185	35
984	2189	33
985	2193	31
986	2198	28
987	2202	26
988	2205	24
989	2213	22
990	2218	20
991	2220	17
992	2222	15
993	2231	13
994	2232	11
995	2235	8
996	2237	6
997	2244	4
998	2246	2
999	2247	0
